Customer_ID,Customer_Segment,Region,Current_Price,Proposed_Price,Competitor_Price,Unit_Cost,Willingness_to_Pay,Expected_Demand,Number_of_Customers,Conversion_Rate,Churn_Rate,Discount_%,Revenue,Gross_Profit,Gross_Margin_%,CAC,LTV,LTV:CAC_Ratio,Price_Sensitivity_Score,Pricing_Scenario,Recommended_Price,Final_Decision
C001,Students,North,720,720,730,210,750,167,10,0.0646,0.0412,0.0,7200.0,5100.0,0.7083333333333334,1105.52,11868.64,10.74,62.3,Current,740,Increase
C002,Individual Professionals,South,960,960,1050,270,1000,279,20,0.0731,0.0496,0.0,19200.0,13800.0,0.71875,1405.65,13221.29,9.41,59.8,Moderate Increase,1010,Increase
C003,Small Businesses,East,1110,1110,1140,200,1270,337,28,0.0832,0.0487,0.05,29526.0,23926.0,0.8103366524419156,1153.27,16691.7,14.47,45.2,Premium,1190,Increase
C004,Mid-Market,West,1240,1240,1410,310,1420,259,28,0.1084,0.0497,0.05,32984.0,24304.0,0.7368421052631579,1214.55,16596.79,13.66,60.2,Promotional,1380,Increase
C005,Enterprise,North,1570,1570,1770,240,1520,319,28,0.0893,0.0461,0.1,39564.0,32844.0,0.8301486199575372,1430.96,24271.69,16.96,40.4,Penetration,1620,Increase
C006,Students,South,770,770,810,260,870,183,16,0.0882,0.0583,0.0,12320.0,8160.0,0.6623376623376623,1130.9,8237.86,7.28,65.8,Current,830,Increase
C007,Individual Professionals,East,1120,1120,1170,200,1370,224,13,0.0602,0.0645,0.0,14560.0,11960.0,0.8214285714285714,1570.99,13343.57,8.49,56.1,Moderate Increase,1250,Increase
C008,Small Businesses,West,1170,1170,1080,250,1250,318,21,0.0672,0.023,0.0,24570.0,19320.0,0.7863247863247863,1132.1,39080.0,34.52,51.4,Premium,1170,Maintain
C009,Mid-Market,North,1300,1300,1180,300,1580,275,18,0.0664,0.0299,0.05,22230.0,16830.0,0.757085020242915,1096.86,30335.9,27.66,71.1,Promotional,1380,Increase
C010,Enterprise,South,1790,1790,1950,200,2180,198,13,0.0676,0.0441,0.0,23270.0,20670.0,0.888268156424581,1480.85,34464.42,23.27,78.0,Penetration,2000,Increase
C011,Students,East,680,680,770,220,730,247,18,0.0732,0.0617,0.0,12240.0,8280.0,0.6764705882352942,1204.57,6995.43,5.81,41.5,Current,730,Increase
C012,Individual Professionals,West,1010,1010,1100,300,1220,268,29,0.1085,0.0583,0.05,27825.5,19125.5,0.6873371547681084,1161.56,10652.68,9.17,72.4,Moderate Increase,1140,Increase
C013,Small Businesses,North,1270,1270,1230,310,1250,410,47,0.116,0.0523,0.0,59690.0,45120.0,0.7559055118110236,1319.57,17395.64,13.18,35.1,Premium,1250,Maintain
C014,Mid-Market,South,1280,1280,1400,320,1380,275,25,0.0911,0.0761,0.0,32000.0,24000.0,0.75,1374.36,11654.98,8.48,32.6,Promotional,1370,Increase
C015,Enterprise,East,1640,1640,1760,260,1590,262,26,0.1015,0.0351,0.0,42640.0,35880.0,0.8414634146341463,986.63,37936.24,38.45,52.7,Penetration,1660,Increase
C016,Students,West,710,710,690,250,800,336,27,0.0822,0.0446,0.0,19170.0,12420.0,0.647887323943662,1288.64,9853.9,7.65,63.4,Current,740,Increase
C017,Individual Professionals,North,910,910,850,240,1130,371,25,0.0696,0.0507,0.0,22750.0,16750.0,0.7362637362637363,1449.33,12544.99,8.66,73.3,Moderate Increase,990,Increase
C018,Small Businesses,South,1250,1250,1380,290,1230,275,18,0.0659,0.0471,0.0,22500.0,17280.0,0.768,1198.12,19422.17,16.21,47.2,Premium,1290,Increase
C019,Mid-Market,East,1210,1210,1230,210,1190,205,24,0.1181,0.0986,0.0,29040.0,24000.0,0.8264462809917356,1316.1,9141.99,6.95,52.4,Promotional,1210,Maintain
C020,Enterprise,West,1790,1790,1750,200,2190,319,24,0.0782,0.053,0.0,42960.0,38160.0,0.888268156424581,914.8,28410.0,31.06,65.1,Penetration,1960,Increase
C021,Students,North,770,770,700,260,880,260,23,0.0913,0.0558,0.1,15939.0,9959.0,0.6248196248196248,1495.79,7326.86,4.9,66.3,Current,800,Increase
C022,Individual Professionals,South,990,990,950,260,1040,200,13,0.065,0.0729,0.0,12870.0,9490.0,0.7373737373737373,1547.39,9283.72,6.0,33.9,Moderate Increase,1000,Increase
C023,Small Businesses,East,1220,1220,1370,320,1440,307,26,0.0859,0.0506,0.0,31720.0,23400.0,0.7377049180327869,1275.25,16886.56,13.24,67.1,Premium,1370,Increase
C024,Mid-Market,West,1470,1470,1490,230,1650,309,24,0.0783,0.0286,0.0,35280.0,29760.0,0.8435374149659864,1062.8,42116.64,39.63,42.5,Promotional,1560,Increase
C025,Enterprise,North,1720,1720,1690,230,1960,262,28,0.1084,0.0637,0.0,48160.0,41720.0,0.8662790697674418,1129.85,21900.89,19.38,67.5,Penetration,1820,Increase
C026,Students,South,890,890,950,290,970,254,18,0.0724,0.0698,0.0,16020.0,10800.0,0.6741573033707865,1386.36,7995.99,5.77,56.0,Current,950,Increase
C027,Individual Professionals,East,1090,1090,1010,280,1010,147,12,0.0838,0.0374,0.1,11772.0,8412.0,0.7145769622833843,1315.58,18042.32,13.71,49.7,Moderate Increase,1030,Maintain
C028,Small Businesses,West,1090,1090,1240,220,1210,237,21,0.0906,0.0723,0.05,21745.5,17125.5,0.7875422501207147,1226.19,10463.89,8.53,63.6,Premium,1200,Increase
C029,Mid-Market,North,1350,1350,1480,250,1500,243,23,0.0956,0.0313,0.0,31050.0,25300.0,0.8148148148148148,1360.5,34043.77,25.02,70.2,Promotional,1460,Increase
C030,Enterprise,South,1600,1600,1710,230,1940,305,27,0.0899,0.042,0.0,43200.0,36990.0,0.85625,1010.33,31249.05,30.93,72.1,Penetration,1790,Increase
C031,Students,East,830,830,840,230,960,201,14,0.0702,0.058,0.0,11620.0,8400.0,0.7228915662650602,1163.45,9744.83,8.38,79.5,Current,890,Increase
C032,Individual Professionals,West,1070,1070,1220,200,1280,236,11,0.0489,0.0791,0.05,11181.5,8981.5,0.8032464338416134,908.61,9505.88,10.46,82.1,Moderate Increase,1220,Increase
C033,Small Businesses,North,1020,1020,990,240,1080,320,30,0.0944,0.0591,0.0,30600.0,23400.0,0.7647058823529411,1597.92,12417.97,7.77,56.2,Premium,1040,Increase
C034,Mid-Market,South,1310,1310,1450,190,1640,237,20,0.0875,0.0664,0.1,23580.0,19780.0,0.8388464800678541,920.3,13905.58,15.11,61.7,Promotional,1510,Increase
C035,Enterprise,East,1630,1630,1780,210,1990,326,26,0.0802,0.0532,0.0,42380.0,36920.0,0.8711656441717791,1324.15,25271.73,19.09,52.5,Penetration,1840,Increase
C036,Students,West,630,630,700,190,740,231,20,0.0886,0.0713,0.1,11340.0,7540.0,0.6649029982363316,928.11,4910.52,5.29,55.6,Current,700,Increase
C037,Individual Professionals,North,1110,1110,1170,300,1060,153,10,0.069,0.0496,0.05,10545.0,7545.0,0.7155049786628734,1586.14,14457.19,9.11,28.7,Moderate Increase,1110,Maintain
C038,Small Businesses,South,1180,1180,1240,190,1430,150,15,0.1017,0.0459,0.0,17700.0,14850.0,0.8389830508474576,1586.02,20578.63,12.98,59.6,Premium,1310,Increase
C039,Mid-Market,East,1380,1380,1460,260,1310,386,30,0.0788,0.0328,0.05,39330.0,31530.0,0.8016781083142639,1354.46,30991.68,22.88,58.0,Promotional,1380,Maintain
C040,Enterprise,West,1680,1680,1730,240,1790,442,38,0.0862,0.0574,0.0,63840.0,54720.0,0.8571428571428571,1199.53,23647.11,19.71,60.1,Penetration,1750,Increase
C041,Students,North,750,750,750,240,730,115,7,0.0649,0.0481,0.0,5250.0,3570.0,0.68,1231.89,10092.91,8.19,60.5,Current,740,Maintain
C042,Individual Professionals,South,920,920,960,280,1040,262,25,0.0961,0.0499,0.0,23000.0,16000.0,0.6956521739130435,1201.99,12185.65,10.14,61.6,Moderate Increase,990,Increase
C043,Small Businesses,East,1360,1360,1400,280,1650,330,27,0.084,0.0524,0.05,34884.0,27324.0,0.7832817337461301,1120.12,18300.98,16.34,57.4,Premium,1500,Increase
C044,Mid-Market,West,1400,1400,1550,190,1400,321,25,0.0794,0.069,0.05,33250.0,28500.0,0.8571428571428571,910.28,15381.74,16.9,26.1,Promotional,1450,Increase
C045,Enterprise,North,1530,1530,1520,200,1700,175,6,0.035,0.0468,0.15,7803.0,6603.0,0.8462129950019224,1440.47,22414.46,15.56,53.3,Penetration,1600,Increase
C046,Students,South,790,790,850,230,890,244,24,0.0992,0.0602,0.0,18960.0,13440.0,0.7088607594936709,1016.13,8742.33,8.6,72.0,Current,860,Increase
C047,Individual Professionals,East,1130,1130,1170,300,1410,237,26,0.1103,0.0484,0.0,29380.0,21580.0,0.7345132743362832,1428.73,16318.76,11.42,73.0,Moderate Increase,1270,Increase
C048,Small Businesses,West,1270,1270,1190,210,1550,321,18,0.0568,0.0646,0.0,22860.0,19080.0,0.8346456692913385,1310.51,15348.67,11.71,39.3,Premium,1370,Increase
